,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,FB,GE,GOOG,GOOGL,JPM,MSFT,TSLA,V,AAPL,AMZN,FB,GE,GOOG,GOOGL,JPM,MSFT,TSLA,V
Date,,,,,,,,,,,,,,,,,,,,
2015-08-27,25.921024322509766,518.3699951171875,89.7300033569336,170.69715881347656,637.6099853515625,667.9600219726562,54.25390625,39.533363342285156,48.597999572753906,69.5636215209961,338464400,6114500,42431400.0,8436246,3491300,2948700,29045700,50943200,38280000.0,9122200
2015-08-28,26.005952835083008,518.010009765625,91.01000213623047,171.72091674804688,630.3800048828125,659.6900024414062,53.959415435791016,39.56036376953125,49.69599914550781,69.62126159667969,212657600,2746700,33215900.0,4282525,1978700,1941800,16687300,28246700,27568500.0,6411400
2015-08-31,25.884296417236328,512.8900146484375,89.43000030517578,169.40040588378906,618.25,647.8200073242188,53.934173583984375,39.19115447998047,49.8120002746582,68.5067367553711,224917200,3002300,32850700.0,4810884,2176700,1946800,14223400,34441700,23501000.0,8313300
2015-09-01,24.72735595703125,496.5400085449219,87.2300033569336,162.98472595214844,597.7899780273438,629.5599975585938,51.704444885253906,37.660247802734375,47.72600173950195,66.25838470458984,307383600,3864500,36097400.0,8494720,3702100,2572900,23637300,49688900,27274000.0,11491500
2015-09-02,25.787885665893555,510.54998779296875,89.88999938964844,167.69407653808594,614.3400268554688,644.9099731445312,52.646820068359375,39.04706573486328,49.53799819946289,66.8925552368164,247555200,3707100,27190500.0,6562504,2575600,1881500,17757900,37671500,23146000.0,9218000
2015-09-03,25.335662841796875,504.7200012207031,88.1500015258789,167.28456115722656,606.25,637.0499877929688,52.7393798828125,39.17313003540039,49.11399841308594,67.6419906616211,212935600,3149700,27048200.0,4363424,1759600,1728600,17065400,28285200,20974000.0,9035200
2015-09-04,25.08315658569336,499.0,88.26000213623047,163.80377197265625,600.7000122070312,628.9600219726562,51.74651336669922,38.37166976928711,48.38600158691406,66.4505386352539,199985200,2692500,27328700.0,4631692,2089000,2023900,20189000,37138800,18446000.0,9469400
2015-09-08,25.78099250793457,517.5399780273438,89.52999877929688,170.3559112548828,614.6599731445312,643.8800048828125,53.143245697021484,39.524356842041016,49.63399887084961,67.76689147949219,219374400,3810700,27012500.0,6007664,2279500,1954600,13385100,32469800,15691000.0,7984900
2015-09-09,25.28516387939453,516.8900146484375,90.44000244140625,167.55760192871094,612.719970703125,643.4099731445312,52.31867599487305,38.78590774536133,49.78200149536133,66.87330627441406,340043200,4370700,32551100.0,4499456,1702100,2048900,13889500,33469500,16954000.0,9022200
2015-09-10,25.840679168701172,522.239990234375,91.9800033569336,168.44485473632812,621.3499755859375,651.0800170898438,52.7225456237793,38.98402404785156,49.69599914550781,67.47862243652344,251571200,2576000,26437400.0,4555603,1905300,1392500,15751100,31366600,13545000.0,7244200
2015-09-11,26.217147827148438,529.4400024414062,92.05000305175781,170.28765869140625,625.77001953125,655.2999877929688,52.638389587402344,39.15513610839844,50.04800033569336,67.98788452148438,199662000,3227900,21185000.0,4147390,1373500,1744600,12766700,27132500,11754000.0,6452100
2015-09-14,26.46965217590332,521.3800048828125,92.30999755859375,169.05909729003906,623.239990234375,652.469970703125,52.48694610595703,38.7588996887207,50.63800048828125,67.26724243164062,233453600,3130200,20127900.0,3410888,1702300,1497100,10202800,23656000,14454500.0,7059300
2015-09-15,26.692317962646484,522.3699951171875,92.9000015258789,172.6764373779297,635.1400146484375,665.0700073242188,53.49663543701172,39.60539627075195,50.7140007019043,67.74766540527344,173364800,2865900,18859400.0,6023511,2084400,1777300,14023500,28882200,14667500.0,6962600
2015-09-16,26.722158432006836,527.3900146484375,93.44999694824219,176.97628784179688,635.97998046875,665.52001953125,53.96782684326172,39.8935661315918,52.45000076293945,68.2088623046875,148694000,2252800,16321200.0,8000213,1286500,1312600,12235900,23372200,22085500.0,8207600
2015-09-17,26.150571823120117,538.8699951171875,94.33999633789062,174.56610107421875,642.9000244140625,671.6699829101562,52.71413040161133,39.84854507446289,52.41400146484375,68.18002319335938,256450400,4169500,27841800.0,6349733,2274700,2387600,21249200,32768200,17929000.0,7663300
2015-09-18,26.042686462402344,540.260009765625,94.4000015258789,170.77871704101562,629.25,660.9199829101562,51.27532196044922,39.15513610839844,52.124000549316406,67.0558853149414,297141200,6160100,62300000.0,10123009,5133400,3627200,31008000,63143700,18815500.0,14508100
2015-09-21,26.44669532775879,548.3900146484375,95.55000305175781,172.77566528320312,635.4400024414062,666.97998046875,51.704444885253906,39.722476959228516,52.84000015258789,68.007080078125,200888000,3283300,28790000.0,3850457,1788500,1954700,13136400,26177200,30601000.0,12756500
2015-09-22,26.031208038330078,538.4000244140625,92.95999908447266,172.91343688964844,622.6900024414062,653.2000122070312,51.250083923339844,39.533363342285156,52.1879997253418,67.49784088134766,201384800,3841700,36888900.0,5746650,2562900,2718100,14811900,28085900,18322000.0,11394000
2015-09-23,26.242393493652344,536.0700073242188,93.97000122070312,173.12005615234375,622.3599853515625,653.2899780273438,51.022911071777344,39.50634002685547,52.21200180053711,68.1704330444336,143026800,2237600,21701400.0,5354700,1470900,1458000,11712200,17145200,13004000.0,10655800
2015-09-24,26.39849853515625,533.75,94.41000366210938,171.53616333007812,625.7999877929688,654.9099731445312,50.66950988769531,39.542354583740234,52.624000549316406,67.48823547363281,200878000,3501000,29106000.0,6921135,2240100,1934600,17293400,27905600,17241000.0,8406700
2015-09-25,26.331918716430664,524.25,92.7699966430664,171.6050262451172,611.969970703125,640.1500244140625,51.72126770019531,39.56936264038086,51.38199996948242,67.92060852050781,224607600,4031000,28961600.0,5063513,2174000,2424000,18384300,29384600,18867000.0,7756600
2015-09-28,25.81083869934082,504.05999755859375,89.20999908447266,167.40444946289062,594.8900146484375,624.25,50.467567443847656,38.98402404785156,49.68600082397461,64.56732940673828,208436000,5434500,41199900.0,5543369,3127700,2382300,17452200,27613800,24505500.0,15261200
